State,District,Market,Commodity,Variety,Arrival_Date,Min_Price,Max_Price,Modal_Price
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-01-14,1500,1500,1500.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-01-17,2000,2000,2000.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-01-20,1500,1500,1500.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-01-21,3075,3075,3075.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-01-23,1300,1300,1300.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-01-24,800,3261,1500.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-01-27,1500,1500,1500.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-01-28,1000,1500,1200.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-01-30,1400,1400,1400.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-02-05,1800,1800,1800.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-02-06,1300,1300,1300.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-02-07,1400,1800,1600.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-02-12,1000,1200,1000.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-02-14,1000,1000,1000.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-02-15,1000,1000,1000.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-02-21,1120,1120,1120.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-02-22,1400,1400,1400.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-02-27,1000,1000,1000.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-02-28,1000,1000,1000.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-02-29,1000,1000,1000.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-03-04,1195,1195,1195.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-03-07,1000,1000,1000.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-03-08,1000,1000,1000.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-03-16,1000,1000,1000.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-03-17,711,1000,800.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-03-18,800,1000,1000.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-03-20,600,800,600.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-04-27,500,500,500.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-04-28,300,325,300.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-05-20,250,500,350.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-06-03,150,650,350.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-06-04,200,700,400.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-06-05,300,600,400.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-06-06,300,900,700.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-06-08,200,900,400.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-06-09,200,920,500.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-06-10,100,900,550.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-06-11,200,800,500.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-06-12,200,800,500.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-06-15,200,700,400.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-06-16,200,800,450.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-06-17,200,800,400.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-06-18,300,850,400.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-06-19,200,800,450.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-06-22,200,800,400.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-06-23,150,800,450.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-06-25,200,800,450.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-06-26,200,800,450.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-06-29,200,800,450.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-06-30,200,800,500.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-07-06,100,800,450.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-07-07,100,850,450.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-07-08,100,850,450.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-07-09,150,800,450.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-07-10,200,800,450.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-07-13,200,800,450.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-07-14,200,800,450.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-07-15,150,700,450.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-07-17,150,700,450.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-07-21,200,850,550.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-07-22,200,800,500.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-07-23,150,650,350.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-07-24,100,800,450.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-07-27,100,700,500.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-07-30,100,700,400.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-07-31,100,700,450.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-08-07,150,650,450.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-08-10,100,700,350.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-08-13,200,750,400.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-08-14,200,700,450.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-08-17,100,700,400.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-08-18,180,1000,651.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-08-19,180,1600,600.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-08-20,150,1300,650.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-08-26,150,1300,600.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-08-27,100,1400,450.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-08-29,100,1300,450.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-08-31,150,1300,550.0
